,repository_name,language
0,.github,
1,aioshumway,Python
2,android-auth,HTML
3,android-sdk,HTML
4,android-store-service,Python
5,annoy,C++
6,annoy-java,Java
7,apollo,Java
8,apollo-elide,Java
9,apollo-metrics,
10,apps-tutorial,
11,async-datastore-client,Java
12,async-google-pubsub-client,Java
13,backup-utils,Shell
14,basic-pitch,Python
15,basic-pitch-ts,TypeScript
16,batty,Python
17,bazel-tools,Java
18,beam,Java
19,big-data-rosetta-code,Scala
20,bigtable-autoscaler,Java
21,boilerplate-app,
22,bucket-runner,JavaScript
23,cartography,Python
24,cassandra-extra,Java
25,cassandra-medusa,Python
26,cassandra-opstools,Java
27,cassandra-reaper,
28,certcheck,Python
29,chartify,Python
30,code-of-conduct,
31,collectd,C
32,comet,Python
33,comet-common,Python
34,comet-core,Python
35,completable-futures,Java
36,condor,Java
37,confidence,Python
38,confidence-openfeature-provider-js,TypeScript
39,confidence-openfeature-provider-kotlin,Kotlin
40,confidence-openfeature-provider-swift,Swift
41,container-agent,Python
42,cookiecutter-golang,Go
43,coordinator,HTML
44,crtauth,Python
45,crtauth-java,Java
46,crtauth-java-agent-signer-apache,Java
47,crunch-lib,Java
48,cstar,Python
49,daemon-java,Java
50,dataenum,Java
51,DataflowJavaSDK,Java
52,dataproc-java-submitter,Java
53,dataprocxy,Python
54,dbeam,Java
55,debify,Shell
56,dh-virtualenv,Python
57,diffuser,Swift
58,dns-java,Java
59,docgenerator,Java
60,docker-alpine,
61,docker-bigtable,Go
62,docker-cassandra,Shell
63,docker-client,Java
64,docker-gc,Shell
65,docker-kafka,Shell
66,docker-maven-plugin,Java
67,docker-stress,Python
68,dockerfile-maven,Java
69,dockerfile-mode,Emacs Lisp
70,docker_interface,Python
71,drserv,Python
72,druid,
73,duck,Ruby
74,echoprint-codegen,C++
75,echoprint-server,Java
76,elasticsearch-index-window,Java
77,elitzur,Scala
78,eslint-config-oss,JavaScript
79,etcd,Go
80,featran,Scala
81,ffwd,Java
82,ffwd-client-java,Java
83,ffwd-http-client,Java
84,ffwd-ruby,Ruby
85,flink,Java
86,flink-docker,
87,flink-on-k8s-operator,Go
88,flo,Java
89,flume-syslog-source2,Java
90,flyte-flink-plugin,Go
91,fmt-maven-plugin,Java
92,folsom,Java
93,foss-root,
94,futures-extra,Java
95,futuristic-feline,Java
96,gcp-audit,Python
97,gcp-firewall-enforcer,Python
98,gcs-tools,Scala
99,ghelog,Python
100,gimme,Python
101,git-test,Shell
102,github-java-client,Java
103,google-http-java-client,Java
104,gordon,Python
105,gordon-gcp,Python
106,gordon-introspection,Python
107,gordon-janitor,Python
108,gordon-janitor-gcp,Python
109,griffin,Python
110,hadoop-openpgp-codec,Java
111,hdfs2cass,Java
112,helios,Java
113,helios-go,Go
114,helios-skydns,Java
115,heroic,Java
116,heroic-client-go,Go
117,heroic-client-java,Java
118,homebrew-public,Ruby
119,hornet,Scala
120,HubFramework,Objective-C
121,hush-tab,JavaScript
122,hype,Java
123,hyperflo,Scala
124,ieee-spm-vocals-tutorial,Jupyter Notebook
125,ios-auth,Objective-C
126,ios-ci,Shell
127,ios-sdk,Objective-C
128,ios-style,
129,java-hamcrest,Java
130,java-lkk,Java
131,jenkins-coverage-poster,Groovy
132,jira-lkk-bridge,Java
133,JniHelpers,C++
134,jsconfeu-2013,JavaScript
135,kafka,Scala
136,kairosdb,Java
137,kernel-common,
138,klio,Python
139,lemur,Python
140,lighthouse-audit-service,TypeScript
141,limbo,Scala
142,lingon,JavaScript
143,linux,C
144,logging-java,Java
145,luigi,Python
146,lyceum,Clojure
147,mace,
148,magnolify,Scala
149,metrics-munin-reporter,Java
150,missinglink,Java
151,mlockexec,Python
152,mobius,Java
153,mobius-android-sample,Java
154,Mobius.swift,Swift
155,moob,Ruby
156,netty-batch-flusher,Java
157,netty-zmtp,Java
158,noether,Scala
159,okta-sdk-python,Python
160,openfeature-kotlin-sdk,Kotlin
161,openfeature-swift-sdk,Swift
162,pedalboard,C++
163,PeqBank,C
164,perf-map-agent,C
165,phpconf-argentina-2014,JavaScript
166,platform-external-bluetooth-bluez,
167,polly-jest-presets,TypeScript
168,postgresql-metrics,Python
169,proto-registry,TypeScript
170,proto-requests,TypeScript
171,protoman,Java
172,puppet-talos,Puppet
173,pyeos,Python
174,pyfg,Python
175,pyschema,Python
176,python-graphwalker,Python
177,pythonflow,Python
178,pywk,Python
179,quickstart,JavaScript
180,ratatool,Scala
181,react-native-lookback,Objective-C
182,reactochart,JavaScript
183,realbook,Python
184,redux-location-state,JavaScript
185,requests-crtauth,Python
186,robolectric,Java
187,rspec-dns,Ruby
188,rspec-dnsruby,Ruby
189,ruler,Kotlin
190,s3mper,Java
191,scanctl,Python
192,scio,Scala
193,scio-contrib,Scala
194,scio-idea-plugin,Scala
195,scio.g8,Scala
196,sekexe,Shell
197,semantic-metrics,Java
198,should-up,JavaScript
199,shumway,Python
200,simple-bigtable,Java
201,skydns,
202,skygc,Python
203,snakebite,Python
204,soa-reference-integration,TypeScript
205,spark-bigquery,Scala
206,sparkey,C
207,sparkey-java,Java
208,sparkey-python,Python
209,spawn,Java
210,spotify-checkstyle-config,
211,spotify-heroic-datasource,TypeScript
212,spotify-js-challenge,JavaScript
213,spotify-json,C++
214,spotify-tensorflow,Python
215,spotify-web-api-ts-sdk,TypeScript
216,spotify-web-playback-sdk-example,JavaScript
217,spotify.github.io,HTML
218,SpotifyLogin,Swift
219,sprunch,Scala
220,SPStackedNav,Objective-C
221,SPTDataLoader,Objective-C
222,SPTPersistentCache,Objective-C
223,spydra,Java
224,spymaster,Python
225,squashing-census-exporter,Kotlin
226,ssh-agent-proxy,Java
227,ssh-agent-tls,Java
228,styx,Java
229,super-smash-brogp,Python
230,swupdate,
231,syslog-redirector,Go
232,syslog-redirector-golang,Go
233,talos,Ruby
